gene,importance,importance_std,rank
HMGN1P38,13.764575719833374,8.807623853455828,207
CD97,13.732111513614655,10.952807707828567,208
RP11-353N4.6,13.677048901716867,8.76025855934666,209
PGAM1,13.652953863143921,16.01109523467501,210
GOLIM4,13.6222735842069,22.28291518529436,211
CD22,13.207221329212189,22.442614613327127,212
NEAT1,13.17239553729693,15.677827060738457,213
NPIPB4,13.163208921750387,13.52172775770134,214
HSPD1,13.122379670540491,14.586328579963617,215
MS4A1,13.114520112673441,25.413580480872703,216
AMICA1,13.101411561171213,8.914622368407784,217
S100A10,13.098389863967896,13.457151766994077,218
MTND1P23,13.024347106615702,9.671974290528516,219
IGHA2,12.85858186086019,11.179975487063041,220
AC004057.1,12.843356768290201,8.927967610544798,221
RPS28,12.579600363969803,10.120401727740639,222
ACTB,12.455236693223318,11.862846993804164,223
DUSP4,12.43525489171346,15.724437898116348,224
DUSP1,12.427576760450998,13.98579121875652,225
VPREB3,12.384032766024271,21.331516407173613,226
ZFP36,12.353532393773397,10.701317307527418,227
RPS3AP26,12.344851593176523,18.036730835258656,228
HLA-V,12.272744397322336,7.862514683643668,229
EPAS1,12.260154684384664,10.24199743978135,230
NACA3P,12.211683293183645,9.072276038931081,231
UTY,12.174402177333832,9.929582938077228,232
ELMSAN1,12.11844656864802,12.819264700539799,233
CD19,12.062156120936075,24.05626830472182,234
BTG2,11.89715259273847,9.593554447278242,235
RPS3A,11.823031241695086,14.341080399408249,236
RP11-291B21.2,11.685055613517761,11.049253635111958,237
STK17B,11.435652077198029,13.470275665407765,238
TNS1,11.39402405420939,16.214076708628884,239
RPL10,11.322710394859314,11.986461305646538,240
SLC38A2,11.309954673051834,9.842505847541139,241
DNAJB1,11.286544978618622,8.421463654934737,242
DGKA,11.239769279956818,11.919984408259042,243
RARRES3,11.001333872477213,11.120623147510363,244
MAT2A,10.90656907359759,10.435988988522443,245
CNOT6L,10.830821533997854,9.86200353008729,246
ZNF331,10.736876552303633,19.65755415111001,247
CTA-250D10.23,10.67288593451182,20.043000540067812,248
PPP1R15A,10.528542816638947,15.42561881359589,249
RP11-543P15.1,10.460375398397446,9.160291173110176,250
LRRC37A4P,10.32742989063263,12.846267228096513,251
REV3L,10.327404101689657,10.157442050072403,252
TTC19,10.088019569714865,9.439981511294409,253
CTLA4,10.068653186162313,8.251140511296448,254
RNF213,9.984013825654984,9.025242236685116,255
MTHFD2,9.953919718662897,14.23016941146832,256
FCRL3,9.8995889822642,14.4539368327602,257
GMIP,9.854570607344309,8.302047702554969,258
NPAT,9.801527321338654,9.014466347910515,259
PGK1,9.736478885014852,11.75955521214727,260
PSMB9,9.693761383493742,15.555205306428,261
USP9Y,9.651736577351889,9.482454583712256,262
SKIL,9.46823481718699,8.918623123600506,263
RP11-72I8.1,9.429217378298441,11.5755694243683,264
CLK1,9.424877285957336,8.95318630930493,265
IGHM,9.290985256433487,9.553617178994148,266
CD68,9.28653613726298,20.32280831979418,267
ZEB2,9.233979960282644,13.182335375096354,268
RP11-442A13.1,9.195253173510233,7.328383609069994,269
FAM46C,9.107114374637604,8.555844558669087,270
TSPYL1,9.105763932069143,8.723970348246509,271
CD44,9.097156954308351,9.706177899261165,272
SNHG1,9.07736587524414,11.700290698007228,273
